"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","protein_id","protein_name"
"prot-a-914","ieu-b-40","body mass index || id:ieu-b-40","Histone-lysine N-methyltransferase EHMT2 || id:prot-a-914","Inverse variance weighted",2,0.00994198789589469,0.00800635154116077,0.21432416599149,"prot-a-914","Histone-lysine N-methyltransferase EHMT2"
"prot-a-869","ieu-b-40","body mass index || id:ieu-b-40","Desmoglein-1 || id:prot-a-869","Wald ratio",1,0.0245803357314149,0.0107913669064748,0.0227398209763687,"prot-a-869","Desmoglein-1"
"prot-a-91","ieu-b-40","body mass index || id:ieu-b-40","Anaphase-promoting complex subunit 7 || id:prot-a-91","Inverse variance weighted",2,0.005112364796592,0.00191834100695186,0.00769899919909027,"prot-a-91","Anaphase-promoting complex subunit 7"
"prot-a-859","ieu-b-40","body mass index || id:ieu-b-40","Dipeptidyl peptidase 2 || id:prot-a-859","Wald ratio",1,0.0159200296186598,0.00666419844502036,0.0168994124245017,"prot-a-859","Dipeptidyl peptidase 2"
"prot-a-982","ieu-b-40","body mass index || id:ieu-b-40","ERO1-like protein alpha || id:prot-a-982","Inverse variance weighted",2,0.00280086193869462,0.0210242943869102,0.894019189468647,"prot-a-982","ERO1-like protein alpha"
"prot-a-967","ieu-b-40","body mass index || id:ieu-b-40","Erythropoietin || id:prot-a-967","Wald ratio",1,-0.0187290969899666,0.0127090301003344,0.140566636048714,"prot-a-967","Erythropoietin"
"prot-a-956","ieu-b-40","body mass index || id:ieu-b-40","Ephrin type-A receptor 1 || id:prot-a-956","Wald ratio",1,-0.00556944760172767,0.00375085246646965,0.137583964946947,"prot-a-956","Ephrin type-A receptor 1"
"prot-a-892","ieu-b-40","body mass index || id:ieu-b-40","Endothelin-2 || id:prot-a-892","MR Egger",3,-0.00450704734931777,0.0142277783116302,0.80469936826593,"prot-a-892","Endothelin-2"
"prot-a-892","ieu-b-40","body mass index || id:ieu-b-40","Endothelin-2 || id:prot-a-892","Weighted median",3,-0.0145069645169078,0.00474799933493692,0.00224772009489075,"prot-a-892","Endothelin-2"
"prot-a-892","ieu-b-40","body mass index || id:ieu-b-40","Endothelin-2 || id:prot-a-892","Inverse variance weighted",3,-0.0155113798908182,0.00436649361991552,0.00038178460877549,"prot-a-892","Endothelin-2"
"prot-a-892","ieu-b-40","body mass index || id:ieu-b-40","Endothelin-2 || id:prot-a-892","Simple mode",3,-0.0157434134288779,0.00649372556427735,0.136217682660039,"prot-a-892","Endothelin-2"
"prot-a-892","ieu-b-40","body mass index || id:ieu-b-40","Endothelin-2 || id:prot-a-892","Weighted mode",3,-0.0137034447315025,0.0095397516342448,0.287397399187022,"prot-a-892","Endothelin-2"
