"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"prot-a-2522","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Replication initiator 1 || id:prot-a-2522","Inverse variance weighted",2,-0.0208633876754905,0.0707873719781874,0.768197709862664
"prot-a-2671","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Semaphorin-3C || id:prot-a-2671","Wald ratio",1,0.160927511415525,0.0962511415525114,0.0945333311352063
"prot-a-2473","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ras-related protein Rab-26 || id:prot-a-2473","Inverse variance weighted",2,0.140171748189614,0.064456415170222,0.0296544871370995
"prot-a-2575","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","rRNA methyltransferase 3, mitochondrial || id:prot-a-2575","Inverse variance weighted",4,0.00558223982932191,0.022697711494858,0.805729884210453
"prot-a-2493","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Retinoic acid receptor responder protein 1 || id:prot-a-2493","Inverse variance weighted",2,-0.0137493651023553,0.0181677513371854,0.449169333653756
"prot-a-2771","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Mothers against decapentaplegic homolog 2 || id:prot-a-2771","Wald ratio",1,0.0953194748358862,0.0515528811086798,0.0644628611121279
"prot-a-2769","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","SLIT and NTRK-like protein 5 || id:prot-a-2769","Wald ratio",1,-0.116388453608247,0.142058969072165,0.412617118606705
"prot-a-2810","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","SPARC-like protein 1 || id:prot-a-2810","Inverse variance weighted",2,0.0585962623212357,0.0615089000778398,0.340769011336131
"prot-a-2743","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","SLAM family member 7 || id:prot-a-2743","Inverse variance weighted",2,-0.00309251344110595,0.0444495438645981,0.944533074222009
"prot-a-2675","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Semaphorin-4D || id:prot-a-2675","Inverse variance weighted",2,0.0302942271833805,0.0196317609804685,0.122800869915716
"prot-a-261","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 || id:prot-a-261","Inverse variance weighted",2,0.000808166325697421,0.124696186802666,0.994828880207517
"prot-a-2487","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","NKG2D ligand 4 || id:prot-a-2487","Wald ratio",1,0.0272837996708206,0.0452104396896308,0.546186422623647
"prot-a-2867","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Signal transducer and activator of transcription 1-alpha/beta || id:prot-a-2867","Wald ratio",1,0.0949961230918343,0.0513779985461594,0.0644628611121278
"prot-a-2767","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","SLIT and NTRK-like protein 3 || id:prot-a-2767","Wald ratio",1,0.0250470260223048,0.0500473977695167,0.616746919766987
"prot-a-2532","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Repulsive guidance molecule A || id:prot-a-2532","Inverse variance weighted",3,0.0238360105777952,0.0522137917866748,0.648024761835652
"prot-a-2501","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Probable RNA-binding protein 19 || id:prot-a-2501","Wald ratio",1,0.091267194458189,0.111471548738248,0.412929759800414
"prot-a-2870","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Signal transducer and activator of transcription 6 || id:prot-a-2870","Wald ratio",1,0.0578726794808608,0.0342814194184327,0.0913796321877037
"prot-a-2732","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Tyrosine-protein phosphatase non-receptor type substrate 1 || id:prot-a-2732","Inverse variance weighted",2,0.00250899426238508,0.0136981610297535,0.854670239838649
"prot-a-2882","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Erythrocyte band 7 integral membrane protein || id:prot-a-2882","Wald ratio",1,0.0077446134347275,0.037386354034643,0.835892083741876
