"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","protein_id","protein_name"
"prot-a-2129","R12_amyloidosis","R12_E4_AMYLNAS","ADP-ribose pyrophosphatase, mitochondrial || id:prot-a-2129","Weighted median",3,0.328175158126143,0.213236552546857,0.123799597998687,"prot-a-2129","ADP-ribose pyrophosphatase, mitochondrial"
"prot-a-2129","R12_amyloidosis","R12_E4_AMYLNAS","ADP-ribose pyrophosphatase, mitochondrial || id:prot-a-2129","Inverse variance weighted",3,0.127927928157121,0.303300370050578,0.673181036958038,"prot-a-2129","ADP-ribose pyrophosphatase, mitochondrial"
"prot-a-2129","R12_amyloidosis","R12_E4_AMYLNAS","ADP-ribose pyrophosphatase, mitochondrial || id:prot-a-2129","Simple mode",3,0.541216049783765,0.406000069938596,0.314084418035427,"prot-a-2129","ADP-ribose pyrophosphatase, mitochondrial"
"prot-a-2129","R12_amyloidosis","R12_E4_AMYLNAS","ADP-ribose pyrophosphatase, mitochondrial || id:prot-a-2129","Weighted mode",3,-0.302329032640325,0.570442982467754,0.649074031751931,"prot-a-2129","ADP-ribose pyrophosphatase, mitochondrial"
"prot-a-2313","R12_amyloidosis","R12_E4_AMYLNAS","Phosphomevalonate kinase || id:prot-a-2313","Wald ratio",1,-0.553708061002179,0.334332461873638,0.0976894146696292,"prot-a-2313","Phosphomevalonate kinase"
"prot-a-2372","R12_amyloidosis","R12_E4_AMYLNAS","Glucosidase 2 subunit beta || id:prot-a-2372","Wald ratio",1,-0.297799769850403,0.26256501726122,0.256713016298278,"prot-a-2372","Glucosidase 2 subunit beta"
"prot-a-2180","R12_amyloidosis","R12_E4_AMYLNAS","Protein deglycase DJ-1 || id:prot-a-2180","Inverse variance weighted",2,-0.143874139409683,0.15151196309131,0.342320975972625,"prot-a-2180","Protein deglycase DJ-1"
"prot-a-2441","R12_amyloidosis","R12_E4_AMYLNAS","Tyrosine-protein phosphatase non-receptor type 7 || id:prot-a-2441","Wald ratio",1,-0.267247108307045,0.161365509989485,0.0976894146696292,"prot-a-2441","Tyrosine-protein phosphatase non-receptor type 7"
"prot-a-2270","R12_amyloidosis","R12_E4_AMYLNAS","PIK3CA/PIK3R1 || id:prot-a-2270","Wald ratio",1,0.396079019073569,0.421303133514986,0.347151729304715,"prot-a-2270","PIK3CA/PIK3R1"
"prot-a-2213","R12_amyloidosis","R12_E4_AMYLNAS","Prenylcysteine oxidase-like || id:prot-a-2213","Wald ratio",1,-0.293207198892478,0.177040378403323,0.0976894146696293,"prot-a-2213","Prenylcysteine oxidase-like"
"prot-a-2397","R12_amyloidosis","R12_E4_AMYLNAS","Proactivator polypeptide-like 1 || id:prot-a-2397","MR Egger",3,-0.102749805591293,0.255708858097705,0.75676203997415,"prot-a-2397","Proactivator polypeptide-like 1"
"prot-a-2397","R12_amyloidosis","R12_E4_AMYLNAS","Proactivator polypeptide-like 1 || id:prot-a-2397","Weighted median",3,-0.0815910921376516,0.122058462402802,0.503840569578937,"prot-a-2397","Proactivator polypeptide-like 1"
"prot-a-2397","R12_amyloidosis","R12_E4_AMYLNAS","Proactivator polypeptide-like 1 || id:prot-a-2397","Inverse variance weighted",3,-0.0792051579023836,0.117096731599376,0.498781683446286,"prot-a-2397","Proactivator polypeptide-like 1"
"prot-a-2397","R12_amyloidosis","R12_E4_AMYLNAS","Proactivator polypeptide-like 1 || id:prot-a-2397","Simple mode",3,-0.0866609748246833,0.166422851047119,0.6544690059715,"prot-a-2397","Proactivator polypeptide-like 1"
"prot-a-2397","R12_amyloidosis","R12_E4_AMYLNAS","Proactivator polypeptide-like 1 || id:prot-a-2397","Weighted mode",3,-0.0814191178398452,0.225886192090119,0.753023778739429,"prot-a-2397","Proactivator polypeptide-like 1"
"prot-a-231","R12_amyloidosis","R12_E4_AMYLNAS","Basal Cell Adhesion Molecule || id:prot-a-231","Inverse variance weighted",2,0.101417764404432,0.195405927324739,0.603753289365134,"prot-a-231","Basal Cell Adhesion Molecule"
"prot-a-2300","R12_amyloidosis","R12_E4_AMYLNAS","Pleckstrin homology domain-containing family A member 7 || id:prot-a-2300","Wald ratio",1,0.173243946512468,0.433917600289122,0.689705023853194,"prot-a-2300","Pleckstrin homology domain-containing family A member 7"
